시도,시군구,주소,주택유형,매입유형,전용면적(m2),임대보증금액,안심전세포털,네이버지도
서울특별시,서울 강서구,서울 강서구 화곡동 1105-3 우장산자하클래식 12층 1205호,오피스텔(주거용),경매등매입형,14.75,"106,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024174201,https://map.naver.com/p/search/서울 강서구 화곡동 1105-3 우장산자하클래식 12층 1205호
서울특별시,서울 강서구,서울 강서구 화곡동 1105-3 우장산자하클래식 14층 1405호,오피스텔(주거용),경매등매입형,14.75,"106,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024173156,https://map.naver.com/p/search/서울 강서구 화곡동 1105-3 우장산자하클래식 14층 1405호
인천광역시,인천 부평구,인천 부평구 삼산동 125-9 1동 2층 201호,다세대주택,협의매입형,60.06,"106,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023407090,https://map.naver.com/p/search/인천 부평구 삼산동 125-9 1동 2층 201호
인천광역시,인천 서구,인천 서구 검암동 635-11 정성드림빌3차 2층 201호,다세대주택,경매등매입형,50.75,"106,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022156171,https://map.naver.com/p/search/인천 서구 검암동 635-11 정성드림빌3차 2층 201호
서울특별시,서울 강서구,서울 강서구 화곡동 981-3 엠제이타운 12층 1204호,오피스텔(주거용),경매등매입형,14.87,"107,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024009478,https://map.naver.com/p/search/서울 강서구 화곡동 981-3 엠제이타운 12층 1204호
인천광역시,인천 서구,인천 서구 검암동 655-11 첼시타운 2층 208호,연립주택,경매등매입형,51.41,"107,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023223288,https://map.naver.com/p/search/인천 서구 검암동 655-11 첼시타운 2층 208호
인천광역시,인천 미추홀구,"인천 미추홀구 숭의동 170-1, 170-63 동인더웰 4층 402호",다세대주택,경매등매입형,59.63,"108,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022298895,"https://map.naver.com/p/search/인천 미추홀구 숭의동 170-1, 170-63 동인더웰 4층 402호"
경기도,경기 부천시 소사구,경기 부천시 소사구 괴안동 184-24 하이원빌 2층 201호,다세대주택,경매등매입형,26.72,"108,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024187406,https://map.naver.com/p/search/경기 부천시 소사구 괴안동 184-24 하이원빌 2층 201호
인천광역시,인천 부평구,인천 부평구 부평동 377-8 웨스트레뷰 5층 501호,아파트,경매등매입형,49.76,"109,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023261205,https://map.naver.com/p/search/인천 부평구 부평동 377-8 웨스트레뷰 5층 501호
인천광역시,인천 서구,인천 서구 검암동 638-9 동보아트빌 102동 4층 401호,다세대주택,경매등매입형,59.995,"109,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023230060,https://map.naver.com/p/search/인천 서구 검암동 638-9 동보아트빌 102동 4층 401호
인천광역시,인천 서구,"인천 서구 당하동 943-3, 943-5, 943-7, 943-44 서연빌리지 106동 2층 201호",다세대주택,경매등매입형,50.24,"109,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023120097,"https://map.naver.com/p/search/인천 서구 당하동 943-3, 943-5, 943-7, 943-44 서연빌리지 106동 2층 201호"
인천광역시,인천 서구,인천 서구 검암동 678-5 스카이빌 B동 4층 401호,다세대주택,경매등매입형,56.59,"110,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023161129,https://map.naver.com/p/search/인천 서구 검암동 678-5 스카이빌 B동 4층 401호
인천광역시,인천 서구,인천 서구 검암동 530-13 하우스드림 B동 2층 202호,다세대주택,경매등매입형,57.09,"110,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023038836,https://map.naver.com/p/search/인천 서구 검암동 530-13 하우스드림 B동 2층 202호
인천광역시,인천 서구,인천 서구 검암동 634-7 골든렉스빌 2층 201호,다세대주택,경매등매입형,50.5,"110,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023001762,https://map.naver.com/p/search/인천 서구 검암동 634-7 골든렉스빌 2층 201호
인천광역시,인천 서구,인천 서구 당하동 943-3외 3필지 106동 4층 401호,다세대주택,협의매입형,50.24,"110,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024110513,https://map.naver.com/p/search/인천 서구 당하동 943-3외 3필지 106동 4층 401호
인천광역시,인천 미추홀구,"인천 미추홀구 숭의동 75-5, 42-81 투민힐스빌 5층 504호",오피스텔(주거용),경매등매입형,62.5069,"111,600,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023235177,"https://map.naver.com/p/search/인천 미추홀구 숭의동 75-5, 42-81 투민힐스빌 5층 504호"
경기도,경기 부천시 오정구,경기 부천시 오정구 고강동 406-20 대현빌 2동 2층 201호,다세대주택,경매등매입형,33.25,"111,600,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023119931,https://map.naver.com/p/search/경기 부천시 오정구 고강동 406-20 대현빌 2동 2층 201호
서울특별시,서울 강서구,서울 강서구 화곡동 376-21 씨티하우스 5층 501호,다세대주택,경매등매입형,29.45,"113,400,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022214147,https://map.naver.com/p/search/서울 강서구 화곡동 376-21 씨티하우스 5층 501호
서울특별시,서울 강서구,"서울 강서구 화곡동 397-3, 397-52 라온빌리지 2층 204호",다세대주택,경매등매입형,23.49,"114,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023233547,"https://map.naver.com/p/search/서울 강서구 화곡동 397-3, 397-52 라온빌리지 2층 204호"
인천광역시,인천 남동구,인천 남동구 간석동 316-3 센트라움 102동 2층 203호,오피스텔(주거용),경매등매입형,55.31,"114,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023238848,https://map.naver.com/p/search/인천 남동구 간석동 316-3 센트라움 102동 2층 203호
인천광역시,인천 미추홀구,"인천 미추홀구 주안동 180-17, 180-13 뉴팰리스 7층 702호",오피스텔(주거용),경매등매입형,57.3,"114,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022374917,"https://map.naver.com/p/search/인천 미추홀구 주안동 180-17, 180-13 뉴팰리스 7층 702호"
인천광역시,인천 부평구,인천 부평구 부평동 715-40 센치스타운 4층 401호,다세대주택,경매등매입형,55.13,"114,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023150051,https://map.naver.com/p/search/인천 부평구 부평동 715-40 센치스타운 4층 401호
경기도,경기 부천시 소사구,"경기 부천시 소사구 심곡본동 723-9, 723-10 동림그린타운 2층 203호",다세대주택,경매등매입형,46.65,"114,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023406704,"https://map.naver.com/p/search/경기 부천시 소사구 심곡본동 723-9, 723-10 동림그린타운 2층 203호"
인천광역시,인천 계양구,인천 계양구 동양동 609-10 삼성쉐르빌3차 2층 201호,다세대주택,경매등매입형,54.99,"115,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022300848,https://map.naver.com/p/search/인천 계양구 동양동 609-10 삼성쉐르빌3차 2층 201호
인천광역시,인천 미추홀구,"인천 미추홀구 용현동 490-37, 490-40 대준블루온 3층 306호",오피스텔(주거용),경매등매입형,55.8646,"115,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024007701,"https://map.naver.com/p/search/인천 미추홀구 용현동 490-37, 490-40 대준블루온 3층 306호"
경기도,경기 부천시 원미구,"경기 부천시 원미구 역곡동 67-4, 67-16 하이트캐슬 3층 303호",다세대주택,경매등매입형,43.11,"115,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023270762,"https://map.naver.com/p/search/경기 부천시 원미구 역곡동 67-4, 67-16 하이트캐슬 3층 303호"
인천광역시,인천 남동구,인천 남동구 만수동 839-39 한솔리치빌 302동 5층 501호,다세대주택,경매등매입형,67.68,"116,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023196321,https://map.naver.com/p/search/인천 남동구 만수동 839-39 한솔리치빌 302동 5층 501호
인천광역시,인천 미추홀구,"인천 미추홀구 숭의동 185-39, 185-40 디에스뷰 8층 801호",오피스텔(주거용),경매등매입형,59.9925,"117,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023222564,"https://map.naver.com/p/search/인천 미추홀구 숭의동 185-39, 185-40 디에스뷰 8층 801호"
인천광역시,인천 미추홀구,인천 미추홀구 학익동 265-1 대안파크타운 10층 비1004호,오피스텔(주거용),경매등매입형,59.9776,"117,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023349715,https://map.naver.com/p/search/인천 미추홀구 학익동 265-1 대안파크타운 10층 비1004호
인천광역시,인천 미추홀구,인천 미추홀구 숭의동 2-116 다온빌 5층 502호,다세대주택,경매등매입형,60.018,"117,900,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023149773,https://map.naver.com/p/search/인천 미추홀구 숭의동 2-116 다온빌 5층 502호
인천광역시,인천 미추홀구,"인천 미추홀구 용현동 621-104, 621-113 리젠빌(2차) 7층 702호",다세대주택,경매등매입형,61.6,"117,900,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023265070,"https://map.naver.com/p/search/인천 미추홀구 용현동 621-104, 621-113 리젠빌(2차) 7층 702호"
인천광역시,인천 부평구,인천 부평구 십정동 94-1 그린힐타운 A동 3층 303호,연립주택,경매등매입형,70.36,"117,900,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023244147,https://map.naver.com/p/search/인천 부평구 십정동 94-1 그린힐타운 A동 3층 303호
인천광역시,인천 미추홀구,인천 미추홀구 주안동 75-89 스타캐슬 4층 402호,오피스텔(주거용),경매등매입형,57.553,"118,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024133557,https://map.naver.com/p/search/인천 미추홀구 주안동 75-89 스타캐슬 4층 402호
경기도,경기 부천시 원미구,경기 부천시 원미구 심곡동 465-5 에코스마트2 7층 701호,오피스텔(주거용),경매등매입형,38.14,"118,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023032578,https://map.naver.com/p/search/경기 부천시 원미구 심곡동 465-5 에코스마트2 7층 701호
인천광역시,인천 서구,"인천 서구 왕길동 669-1, 669-3 타워팰리스6차 2동 4층 404호",연립주택,경매등매입형,59.6,"119,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022249023,"https://map.naver.com/p/search/인천 서구 왕길동 669-1, 669-3 타워팰리스6차 2동 4층 404호"
인천광역시,인천 서구,"인천 서구 왕길동 669-1, 669-3 타워팰리스6차 2동 5층 503호",연립주택,경매등매입형,59.88,"119,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022245235,"https://map.naver.com/p/search/인천 서구 왕길동 669-1, 669-3 타워팰리스6차 2동 5층 503호"
경기도,경기 부천시 원미구,"경기 부천시 원미구 역곡동 224-1, 224-2 우진아트빌 3층 301호",다세대주택,경매등매입형,43.41,"120,600,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023176123,"https://map.naver.com/p/search/경기 부천시 원미구 역곡동 224-1, 224-2 우진아트빌 3층 301호"
서울특별시,서울 강서구,서울 강서구 화곡동 410-23 프라임빌 2층 203호,다세대주택,경매등매입형,19.96,"121,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022070277,https://map.naver.com/p/search/서울 강서구 화곡동 410-23 프라임빌 2층 203호
서울특별시,서울 도봉구,서울 도봉구 쌍문동 480-8 비젼팰리스 3층 304호,다세대주택,경매등매입형,29.97,"121,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022141350,https://map.naver.com/p/search/서울 도봉구 쌍문동 480-8 비젼팰리스 3층 304호
서울특별시,서울 성북구,서울 성북구 하월곡동 90-260 갤럭시하월곡 A동 4층 402호,오피스텔(주거용),경매등매입형,14.35,"121,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024161047,https://map.naver.com/p/search/서울 성북구 하월곡동 90-260 갤럭시하월곡 A동 4층 402호
